City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Krasnoselkup,RU,2021-12-02 14:13:16,65.7,82.4667,12.4,95,100,18.54
270,Bartow,US,2021-12-02 14:10:48,27.8964,-81.8431,67.03,75,40,8.01
271,Ostrovnoy,RU,2021-12-02 14:13:17,68.0531,39.5131,28.18,70,100,26.08
272,Novikovo,RU,2021-12-02 14:13:17,51.1537,37.8879,32.36,59,97,16.31
273,Viesca,MX,2021-12-02 14:13:17,25.35,-102.8,59.36,63,100,2.66
274,Constitucion,CL,2021-12-02 14:13:17,-35.3333,-72.4167,62.71,58,100,7.27
275,Sembe,CG,2021-12-02 14:13:18,1.6481,14.5806,78.48,81,100,2.46
276,Mancio Lima,BR,2021-12-02 14:13:18,-7.6142,-72.8958,79.47,86,95,3.67
277,Kieta,PG,2021-12-02 14:13:18,-6.2167,155.6333,79.21,81,66,2.01
278,Lyubim,RU,2021-12-02 14:13:18,58.3625,40.6843,19.47,87,100,7.49
279,Esperance,AU,2021-12-02 14:13:19,-33.8667,121.9,61.07,75,86,17.0
280,Soc Trang,VN,2021-12-02 14:13:19,9.6033,105.98,75.16,80,100,4.0
281,Lagoa,PT,2021-12-02 14:13:19,39.05,-27.9833,63.86,73,2,4.23
282,Shitkino,RU,2021-12-02 14:13:19,56.3703,98.3543,28.15,82,96,8.12
283,Port Jervis,US,2021-12-02 14:13:20,41.3751,-74.6927,48.61,63,100,8.39
284,San Vicente,AR,2021-12-02 14:13:20,-26.6167,-54.1333,84.06,29,1,4.56
285,Takoradi,GH,2021-12-02 14:10:36,4.8845,-1.7554,84.79,70,22,7.67
286,Brigham City,US,2021-12-02 14:13:20,41.5102,-112.0155,43.81,74,1,8.01
287,Hobyo,SO,2021-12-02 14:13:20,5.3505,48.5268,80.02,62,63,16.11
288,Melo,UY,2021-12-02 14:08:40,-32.3667,-54.1833,71.08,50,8,10.63
289,Banfora,BF,2021-12-02 14:13:21,10.6333,-4.7667,99.32,11,68,4.45
290,Viedma,AR,2021-12-02 14:13:21,-40.8135,-62.9967,66.88,26,100,15.17
291,Amarkantak,IN,2021-12-02 14:13:21,22.6667,81.75,55.96,41,100,2.46
